Monitoraggio ID,KPI,Valore (PV) (€),Data rilevazione,Stato dell'Attività,Actual Cost,Attività,Peso Relativo WP,Budget Attività (€),Peso Attività (%),Planned Start,Planned Finish,Giorni per Attività,Giorni trascorsi,Percentuale completa (%),Stato dell'attività (%),Work Package,Programma,Progetto
Actual Cost (27/11/2023) 10.1.2 Define scope of forecasting system of systems,Actual Cost,1500,27/11/2023,,1500,10.1.2 Define scope of forecasting system of systems,"0,60",7579,"0,21",17/10/2023,15/3/2024,150,41,0.27,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (27/11/2023) 10.1.3 Develop forecasting system of systems,Planned Value,0,27/11/2023,,,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (27/11/2023) 10.1.3 Develop forecasting system of systems,Earned Value,0,27/11/2023,Da iniziare,,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (27/11/2023) 10.1.3 Develop forecasting system of systems,Actual Cost,0,27/11/2023,,0,10.1.3 Develop forecasting system of systems,"0,60",9474,"0,26",30/11/2023,8/1/2024,39,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (27/11/2023) 10.1.4 Test forecasting system of systems,Planned Value,410,27/11/2023,,,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,7,0.07,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (27/11/2023) 10.1.4 Test forecasting system of systems,Earned Value,1421,27/11/2023,Appena iniziata,,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,7,0.07,0.25,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (27/11/2023) 10.1.4 Test forecasting system of systems,Actual Cost,800,27/11/2023,,800,10.1.4 Test forecasting system of systems,"0,60",5684,"0,16",20/11/2023,25/2/2024,97,7,0.07,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (27/11/2023) 10.1.5 Deploy forecasting system of systems,Planned Value,0,27/11/2023,,,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (27/11/2023) 10.1.5 Deploy forecasting system of systems,Earned Value,0,27/11/2023,Da iniziare,,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,0.00,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (27/11/2023) 10.1.5 Deploy forecasting system of systems,Actual Cost,0,27/11/2023,,0,10.1.5 Deploy forecasting system of systems,"0,60",5684,"0,16",27/11/2023,15/3/2024,109,0,0.00,,10.1 Deliver forecasting system of systems,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (27/11/2023) 10.2.1 Find networks of citizen scientistis,Planned Value,9600,27/11/2023,,,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (27/11/2023) 10.2.1 Find networks of citizen scientistis,Earned Value,9600,27/11/2023,Finita,,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,1.00,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (27/11/2023) 10.2.1 Find networks of citizen scientistis,Actual Cost,9600,27/11/2023,,9600,10.2.1 Find networks of citizen scientistis,"0,40",9600,"0,40",30/8/2023,12/9/2023,13,13,1.00,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (27/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Planned Value,11486,27/11/2023,,,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,67,0.80,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Earned Value (27/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Earned Value,10800,27/11/2023,Quasi finita,,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,67,0.80,0.75,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Actual Cost (27/11/2023) 10.2.2 Develop a strategy to consolodate their capacities,Actual Cost,11000,27/11/2023,,11000,10.2.2 Develop a strategy to consolodate their capacities,"0,40",14400,"0,60",21/9/2023,14/12/2023,84,67,0.80,,10.2 Consolidate citizen science observing capacities,5 CoastPredict,10. Integrated coastal ocean observing and predicting
Planned Value (13/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Planned Value,2364,13/11/2023,,,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (13/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Earned Value,591,13/11/2023,Appena iniziata,,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,0.25,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (13/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Actual Cost,400,13/11/2023,,400,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (13/11/2023) 11.1.2 Define regional Earth System Model improvements,Planned Value,4727,13/11/2023,,,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (13/11/2023) 11.1.2 Define regional Earth System Model improvements,Earned Value,1182,13/11/2023,Appena iniziata,,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,0.25,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (13/11/2023) 11.1.2 Define regional Earth System Model improvements,Actual Cost,1000,13/11/2023,,1000,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (13/11/2023) 11.1.3 Deploy improved regional Earth System Model,Planned Value,912,13/11/2023,,,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,42,0.15,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (13/11/2023) 11.1.3 Deploy improved regional Earth System Model,Earned Value,0,13/11/2023,Da iniziare,,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,42,0.15,0.00,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (13/11/2023) 11.1.3 Deploy improved regional Earth System Model,Actual Cost,1600,13/11/2023,,1600,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,42,0.15,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (20/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Planned Value,2364,20/11/2023,,,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (20/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Earned Value,1182,20/11/2023,A metà,,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,0.50,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (20/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Actual Cost,1182,20/11/2023,,1182,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (20/11/2023) 11.1.2 Define regional Earth System Model improvements,Planned Value,4727,20/11/2023,,,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (20/11/2023) 11.1.2 Define regional Earth System Model improvements,Earned Value,2364,20/11/2023,A metà,,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,0.50,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (20/11/2023) 11.1.2 Define regional Earth System Model improvements,Actual Cost,3000,20/11/2023,,3000,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (20/11/2023) 11.1.3 Deploy improved regional Earth System Model,Planned Value,1065,20/11/2023,,,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,49,0.18,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (20/11/2023) 11.1.3 Deploy improved regional Earth System Model,Earned Value,1477,20/11/2023,Appena iniziata,,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,49,0.18,0.25,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (20/11/2023) 11.1.3 Deploy improved regional Earth System Model,Actual Cost,1600,20/11/2023,,1600,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,49,0.18,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (27/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Planned Value,2364,27/11/2023,,,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (27/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Earned Value,2364,27/11/2023,Finita,,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,1.00,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (27/11/2023) 11.1.1 Assess current regional Earth System Model limitations and use cases,Actual Cost,2364,27/11/2023,,2364,11.1.1 Assess current regional Earth System Model limitations and use cases,"1,00",2364,"0,18",23/6/2023,9/8/2023,47,47,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (27/11/2023) 11.1.2 Define regional Earth System Model improvements,Planned Value,4727,27/11/2023,,,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (27/11/2023) 11.1.2 Define regional Earth System Model improvements,Earned Value,3545,27/11/2023,Quasi finita,,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,0.75,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (27/11/2023) 11.1.2 Define regional Earth System Model improvements,Actual Cost,4000,27/11/2023,,4000,11.1.2 Define regional Earth System Model improvements,"1,00",4727,"0,36",10/8/2023,11/10/2023,62,62,1.00,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (27/11/2023) 11.1.3 Deploy improved regional Earth System Model,Planned Value,1217,27/11/2023,,,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,56,0.21,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Earned Value (27/11/2023) 11.1.3 Deploy improved regional Earth System Model,Earned Value,1477,27/11/2023,Appena iniziata,,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,56,0.21,0.25,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Actual Cost (27/11/2023) 11.1.3 Deploy improved regional Earth System Model,Actual Cost,1600,27/11/2023,,1600,11.1.3 Deploy improved regional Earth System Model,"1,00",5909,"0,45",2/10/2023,30/6/2024,272,56,0.21,,11.1 Develop an improved regional Earth System Model,5 CoastPredict,11. Future Coastal Ocean Climates
Planned Value (13/11/2023) 12.1.1 Map existing early warning systems,Planned Value,587,13/11/2023,,,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,4,0.18,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (13/11/2023) 12.1.1 Map existing early warning systems,Earned Value,0,13/11/2023,Da iniziare,,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,4,0.18,0.00,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (13/11/2023) 12.1.1 Map existing early warning systems,Actual Cost,900,13/11/2023,,900,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,4,0.18,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (13/11/2023) 12.1.2 Define new use cases,Planned Value,290,13/11/2023,,,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,12,0.13,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (13/11/2023) 12.1.2 Define new use cases,Earned Value,538,13/11/2023,Appena iniziata,,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,12,0.13,0.25,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (13/11/2023) 12.1.2 Define new use cases,Actual Cost,500,13/11/2023,,500,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,12,0.13,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (13/11/2023) 12.1.3 Define data gaps and new data sources,Planned Value,0,13/11/2023,,,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (13/11/2023) 12.1.3 Define data gaps and new data sources,Earned Value,0,13/11/2023,Da iniziare,,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,0.00,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (13/11/2023) 12.1.3 Define data gaps and new data sources,Actual Cost,0,13/11/2023,,0,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (13/11/2023) 12.1.4 Deploy early warning integration,Planned Value,1401,13/11/2023,,,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,70,0.26,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (13/11/2023) 12.1.4 Deploy early warning integration,Earned Value,1346,13/11/2023,Appena iniziata,,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,70,0.26,0.25,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (13/11/2023) 12.1.4 Deploy early warning integration,Actual Cost,1000,13/11/2023,,1000,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,70,0.26,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (20/11/2023) 12.1.1 Map existing early warning systems,Planned Value,1615,20/11/2023,,,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,11,0.50,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (20/11/2023) 12.1.1 Map existing early warning systems,Earned Value,808,20/11/2023,Appena iniziata,,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,11,0.50,0.25,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (20/11/2023) 12.1.1 Map existing early warning systems,Actual Cost,1600,20/11/2023,,1600,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,11,0.50,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (20/11/2023) 12.1.2 Define new use cases,Planned Value,460,20/11/2023,,,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,19,0.21,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (20/11/2023) 12.1.2 Define new use cases,Earned Value,538,20/11/2023,Appena iniziata,,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,19,0.21,0.25,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (20/11/2023) 12.1.2 Define new use cases,Actual Cost,500,20/11/2023,,500,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,19,0.21,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (20/11/2023) 12.1.3 Define data gaps and new data sources,Planned Value,0,20/11/2023,,,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (20/11/2023) 12.1.3 Define data gaps and new data sources,Earned Value,0,20/11/2023,Da iniziare,,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,0.00,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (20/11/2023) 12.1.3 Define data gaps and new data sources,Actual Cost,0,20/11/2023,,0,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (20/11/2023) 12.1.4 Deploy early warning integration,Planned Value,1541,20/11/2023,,,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,77,0.29,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (20/11/2023) 12.1.4 Deploy early warning integration,Earned Value,1346,20/11/2023,Appena iniziata,,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,77,0.29,0.25,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (20/11/2023) 12.1.4 Deploy early warning integration,Actual Cost,1000,20/11/2023,,1000,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,77,0.29,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (27/11/2023) 12.1.1 Map existing early warning systems,Planned Value,2643,27/11/2023,,,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,18,0.82,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (27/11/2023) 12.1.1 Map existing early warning systems,Earned Value,2423,27/11/2023,Quasi finita,,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,18,0.82,0.75,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (27/11/2023) 12.1.1 Map existing early warning systems,Actual Cost,1500,27/11/2023,,1500,12.1.1 Map existing early warning systems,"1,00",3231,"0,23",9/11/2023,1/12/2023,22,18,0.82,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (27/11/2023) 12.1.2 Define new use cases,Planned Value,629,27/11/2023,,,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,26,0.29,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (27/11/2023) 12.1.2 Define new use cases,Earned Value,538,27/11/2023,Appena iniziata,,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,26,0.29,0.25,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (27/11/2023) 12.1.2 Define new use cases,Actual Cost,500,27/11/2023,,500,12.1.2 Define new use cases,"1,00",2154,"0,15",1/11/2023,29/1/2024,89,26,0.29,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (27/11/2023) 12.1.3 Define data gaps and new data sources,Planned Value,0,27/11/2023,,,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (27/11/2023) 12.1.3 Define data gaps and new data sources,Earned Value,0,27/11/2023,Da iniziare,,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,0.00,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (27/11/2023) 12.1.3 Define data gaps and new data sources,Actual Cost,0,27/11/2023,,0,12.1.3 Define data gaps and new data sources,"1,00",3231,"0,23",27/11/2023,1/4/2024,126,0,0.00,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (27/11/2023) 12.1.4 Deploy early warning integration,Planned Value,1681,27/11/2023,,,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,84,0.31,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Earned Value (27/11/2023) 12.1.4 Deploy early warning integration,Earned Value,2692,27/11/2023,A metà,,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,84,0.31,0.50,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Actual Cost (27/11/2023) 12.1.4 Deploy early warning integration,Actual Cost,2300,27/11/2023,,2300,12.1.4 Deploy early warning integration,"1,00",5385,"0,38",4/9/2023,30/5/2024,269,84,0.31,,12.1 Integrate existing and new coastal hazards early warning systems and services,5 CoastPredict,12. Integrating Coastal Hazard Warning Systems for TAC
Planned Value (13/11/2023) 13.1.1 Define web portal use cases,Planned Value,3583,13/11/2023,,,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (13/11/2023) 13.1.1 Define web portal use cases,Earned Value,1792,13/11/2023,A metà,,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,0.50,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (13/11/2023) 13.1.1 Define web portal use cases,Actual Cost,500,13/11/2023,,500,13.1.1 Define web portal use cases,"0,67",3583,"0,13",30/9/2023,28/10/2023,28,28,1.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (13/11/2023) 13.1.2 Collect requirements for web portal,Planned Value,2518,13/11/2023,,,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,13,0.35,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (13/11/2023) 13.1.2 Collect requirements for web portal,Earned Value,1792,13/11/2023,Appena iniziata,,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,13,0.35,0.25,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Actual Cost (13/11/2023) 13.1.2 Collect requirements for web portal,Actual Cost,1600,13/11/2023,,1600,13.1.2 Collect requirements for web portal,"0,67",7167,"0,25",31/10/2023,7/12/2023,37,13,0.35,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Planned Value (13/11/2023) 13.1.3 Develop web portal,Planned Value,0,13/11/2023,,,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,0,0.00,,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
Earned Value (13/11/2023) 13.1.3 Develop web portal,Earned Value,0,13/11/2023,Da iniziare,,13.1.3 Develop web portal,"0,67",7167,"0,25",16/11/2023,8/2/2024,84,0,0.00,0.00,13.1 Develop free access web portal for the public,5 CoastPredict,13. Forecasting the Argentine Sea
